,fecha_accidente,a_o_accidente,mes_accidente,dia_accidente,hora_accidente,gravedad_accidente,clase_accidente,sitio_exacto_accidente,cant_heridos_en_sitio_accidente,cantidad_accidentes,cant_muertos_en_sitio_accidente,Unnamed: 0,Latitud,Longitud
84,2023-02-09,2023,9,sat,1900-01-01 05:40:00,con heridos,choque,carrera 4 calle 42,1,1,,84,10.93817,-74.79741
85,2023-02-09,2023,9,sat,1900-01-01 08:00:00,con heridos,choque,carrera 46 calle 84,2,1,,85,11.00163,-74.81898
86,2023-02-09,2023,9,sat,1900-01-01 22:30:00,con heridos,atropello,calle 17 con carrera 25,1,1,,86,10.97687,-74.84657
87,2023-02-10,2023,10,mon,1900-01-01 13:00:00,con heridos,choque,calle 45 con carrera 4,1,1,,87,10.92906,-74.78652
88,2023-02-10,2023,10,mon,1900-01-01 02:30:00,con heridos,choque,calle 110 carrera 36,2,1,,88,10.98007,-74.83589
89,2023-02-10,2023,10,mon,1900-01-01 17:00:00,con heridos,choque,via 40 entre 85 y 106,1,1,,89,11.03932,-74.82438
90,2023-02-10,2023,10,mon,1900-01-01 21:30:00,con heridos,choque,carrera 38 con calle 60,1,1,,90,10.97634,-74.7769
91,2023-02-10,2023,10,mon,1900-01-01 23:00:00,con heridos,choque,calle 111 con carrera 31,1,1,,91,10.97825,-74.83704
92,2023-02-10,2023,10,mon,1900-01-01 11:10:00,con heridos,choque,carrera 8 calle 3,1,1,,92,10.95264,-74.76467
93,2023-02-10,2023,10,mon,1900-01-01 11:26:00,con heridos,choque,calle 30 carrera 25,6,1,,93,10.97636,-74.77736
94,2023-02-10,2023,10,mon,1900-01-01 23:30:00,con heridos,choque,carrera 51b con calle 100,1,1,,94,11.01198,-74.83206
95,2023-02-10,2023,10,mon,1900-01-01 12:20:00,con heridos,choque,calle 30 carrera 11,1,1,,95,10.94819,-74.78521
96,2023-02-10,2023,10,mon,1900-01-01 00:30:00,con heridos,atropello,calle 19 carrera 4b,1,1,,96,10.94176,-74.7781
97,2023-02-11,2023,11,thu,1900-01-01 16:30:00,con heridos,choque,calle 19 carrera 6a,1,1,,97,10.945,-74.77636
98,2023-02-11,2023,11,thu,1900-01-01 16:50:00,con heridos,choque,calle 110 entre carrera 43 y 46,1,1,,98,10.93203,-74.78612
99,2023-02-11,2023,11,thu,1900-01-01 17:00:00,con heridos,choque,calle 35 carrera 11,1,1,,99,10.94989,-74.78936
100,2023-02-11,2023,11,thu,1900-01-01 18:00:00,con heridos,atropello,avenida murillo carrera 11 sur,1,1,,100,10.96263,-74.82061
101,2023-02-11,2023,11,thu,1900-01-01 07:30:00,con heridos,choque,transversal 44 # 100,2,1,,101,7.06972,-73.83227
102,2023-03-01,2023,1,tue,1900-01-01 17:15:00,con heridos,choque,calle 57 cra 37,2,1,,102,10.98162,-74.79686
103,2023-03-01,2023,1,tue,1900-01-01 07:10:00,con heridos,choque,calle 113 carrera 26,1,1,,103,10.97442,-74.83979
104,2023-03-02,2023,2,fri,1900-01-01 16:00:00,con heridos,choque,calle 30 carrera 19,1,1,,104,10.95522,-74.78653
105,2023-03-02,2023,2,fri,1900-01-01 06:25:00,con heridos,choque,carrera 20 con calle 45,1,1,,105,10.92906,-74.78652
106,2023-03-02,2023,2,fri,1900-01-01 19:15:00,con heridos,choque,via cordialidad km 114+200 sentido barranquilla cartagena,1,1,,106,11.02847,-74.80418
107,2023-03-02,2023,2,fri,1900-01-01 08:30:00,con heridos,choque,calle 83 carrera 42d,1,1,,107,10.99354,-74.82177
108,2023-03-02,2023,2,fri,1900-01-01 20:30:00,con heridos,choque,calle 9 con carrera 24,2,1,,108,10.96206,-74.77085
109,2023-03-02,2023,2,fri,1900-01-01 10:30:00,con heridos,choque,calle 48 carrera 53,1,1,,109,10.99274,-74.78557
110,2023-03-03,2023,3,fri,1900-01-01 17:15:00,con heridos,choque,calle 76 carrera 59,2,1,,110,11.00626,-74.80091
111,2023-03-03,2023,3,fri,1900-01-01 07:50:00,con heridos,choque,calle 110 carrera 43,1,1,,111,10.99217,-74.80805
112,2023-03-03,2023,3,fri,1900-01-01 08:00:00,con heridos,choque,avenida circunvalar cra 46,1,1,,112,10.93415,-74.78711
113,2023-03-03,2023,3,fri,1900-01-01 08:30:00,con heridos,choque,calle 35 carrera 33,3,1,,113,10.97257,-74.7817
114,2023-03-03,2023,3,fri,1900-01-01 08:30:00,con heridos,choque,calle 40 carrera 20,2,1,,114,10.95883,-74.79148
115,2023-03-03,2023,3,fri,1900-01-01 10:30:00,con heridos,choque,carrera 43 calle 75,1,1,,115,10.99341,-74.8102
116,2023-03-04,2023,4,mon,1900-01-01 03:00:00,con heridos,atropello,carrera 25 calle 12,2,1,,116,10.9764,-74.77743
117,2023-03-04,2023,4,mon,1900-01-01 17:20:00,con heridos,choque,calle 30 carrera 8,1,1,,117,10.9465,-74.78472
118,2023-03-04,2023,4,mon,1900-01-01 18:40:00,con heridos,choque,carrera 50 con calle 37,1,1,,118,10.98809,-74.77902
119,2023-03-04,2023,4,mon,1900-01-01 07:15:00,con heridos,choque,calle 47 con carrera 37,1,1,,119,10.97978,-74.78824
120,2023-03-04,2023,4,mon,1900-01-01 07:50:00,con heridos,choque,carrera 27 calle 35,1,1,,120,10.96688,-74.78389
121,2023-03-04,2023,4,mon,1900-01-01 09:05:00,con heridos,choque,calle 100 con carrera 37,1,1,,121,10.98195,-74.83234
122,2023-03-04,2023,4,mon,1900-01-01 10:05:00,con heridos,choque,carrera 38 calle 71,1,1,,122,10.98507,-74.80977
