Latitud,Longitud
10.9825329,-74.7754351
10.9825329,-74.7754351
4.5857085,-74.1261802
4.5857085,-74.1261802
10.9706479,-74.7802456
,
,
10.0765846,-69.32348449999999
10.0765846,-69.32348449999999
6.2321288,-75.5614018
7.1206415,-73.1209489
7.1206415,-73.1209489
7.1206415,-73.1209489
10.8995855,-74.7790194
10.0682718,-69.3245424
10.0682718,-69.3245424
,
,
,
,
10.9649561,-74.7887767
10.9649561,-74.7887767
5.3238265,-72.3850985
5.3238265,-72.3850985
18.5056944,-69.9073516
18.5056944,-69.9073516
18.5071014,-69.9065208
,
10.9612996,-74.7932724
10.9612996,-74.7932724
18.4842508,-69.9270007
18.4842508,-69.9270007
10.9533262,-74.7977884
,
,
10.9251476,-74.8060935
10.9251476,-74.8060935
6.251043,-75.578218
6.251043,-75.578218
4.6388471,-74.0691888
4.6388471,-74.0691888
,
,
,
6.2599893,-75.5796802
6.2599893,-75.5796802
6.2453653,-75.5616633
,
,
19.843618,-90.5372294
19.843618,-90.5372294
19.8436145,-90.53717280000001
10.967361,-74.7700077
10.967361,-74.7700077
10.9962435,-74.7941046
10.9962435,-74.7941046
10.968688,-74.80733150000002
,
6.2527513,-75.5597898
4.6625156,-74.06650309999999
4.6579,-74.05733
4.6579,-74.05733
10.966076,-74.8168542
10.987634,-74.81211309999999
11.0029041,-74.8024415
11.0029041,-74.8024415
,
,
4.6907029,-74.09242909999999
4.6907029,-74.09242909999999
,
,
4.6669518,-74.0652353
10.9880556,-74.822304
10.9880556,-74.822304
10.9880556,-74.822304
10.9880556,-74.822304
10.9991116,-74.8222857
11.00569,-74.8215348
11.00569,-74.8215348
10.958247,-74.8250156
10.958247,-74.8250156
,
,
,
11.0137988,-74.8263181
6.2431376,-75.5688941
4.5760062,-74.1183535
4.5760062,-74.1183535
10.9228188,-74.8028465
10.9228188,-74.8028465
